t1,t2,s1,s2,n1,n2
0,4,24,33,24,189
4,11,33,14,189,443
11,17,14,29,443,692
17,22,29,37,692,895
22,25,37,27,895,1002
25,28,27,37,1002,1129
28,33,37,29,1129,1316
33,39,29,14,1316,1535
39,46,14,33,1535,1827
46,50,33,24,1827,1974
50,54,24,33,1974,2139
54,61,33,14,2139,2393
61,67,14,29,2393,2642
67,72,29,37,2642,2845
72,75,37,27,2845,2952
75,78,27,37,2952,3079
78,83,37,29,3079,3266
83,89,29,14,3266,3485
89,96,14,33,3485,3777
96,100,33,24,3777,3924
100,104,24,33,3924,4089
104,111,33,14,4089,4343
111,117,14,29,4343,4592
117,122,29,37,4592,4795
122,125,37,27,4795,4902
125,128,27,37,4902,5029
128,133,37,29,5029,5216
133,139,29,14,5216,5435
139,146,14,33,5435,5727
146,150,33,24,5727,5874
