t1,t2,s1,s2,n1,n2
0,3.0,65,8.0,65,215.0
3.0,7.0,8.0,49.0,215.0,532.0
7.0,11.0,49.0,29.0,532.0,788.0
11.0,16.0,29.0,52.0,788.0,1156.0
16.0,20.0,52.0,50.0,1156.0,1430.0
20.0,24.0,50.0,52.0,1430.0,1708.0
24.0,28.0,52.0,50.0,1708.0,1982.0
28.0,30.0,50.0,6.0,1982.0,2076.0
30.0,31.0,6.0,6.0,2076.0,2145.0
31.0,34.0,6.0,64.0,2145.0,2410.0
34.0,38.0,64.0,62.0,2410.0,2684.0
38.0,41.0,62.0,63.0,2684.0,2892.0
41.0,48.0,63.0,66.0,2892.0,3378.0
48.0,49.0,66.0,66.0,3378.0,3447.0
49.0,50.0,66.0,66.0,3447.0,3516.0
50.0,51.0,66.0,66.0,3516.0,3585.0
51.0,54.0,66.0,12.0,3585.0,3738.0
54.0,63.0,12.0,24.0,3738.0,4371.0
63.0,72.0,24.0,12.0,4371.0,4980.0
72.0,75.0,12.0,66.0,4980.0,5241.0
75.0,82.0,66.0,63.0,5241.0,5721.0
82.0,85.0,63.0,62.0,5721.0,5927.0
85.0,89.0,62.0,64.0,5927.0,6205.0
89.0,92.0,64.0,6.0,6205.0,6354.0
92.0,93.0,6.0,6.0,6354.0,6423.0
93.0,94.0,6.0,6.0,6423.0,6492.0
94.0,96.0,6.0,50.0,6492.0,6674.0
96.0,100.0,50.0,52.0,6674.0,6952.0
100.0,104.0,52.0,50.0,6952.0,7226.0
104.0,108.0,50.0,52.0,7226.0,7504.0
108.0,113.0,52.0,29.0,7504.0,7826.0
113.0,117.0,29.0,49.0,7826.0,8122.0
117.0,121.0,49.0,8.0,8122.0,8357.0
121.0,124.0,8.0,65.0,8357.0,8621.0
