t,s
0.0,8
1.0,8
5.0,29
6.0,29
11.0,52
15.0,50
17.0,6
20.0,64
24.0,62
27.0,63
32.0,14
36.0,16
40.0,17
44.0,16
49.0,12
52.0,66
57.0,1
60.0,4
62.0,31
64.0,8
