t,s
0.0,43
4.0,40
5.0,40
6.0,40
9.0,0
14.0,29
19.0,52
23.0,50
27.0,52
31.0,50
33.0,6
34.0,6
35.0,6
38.0,64
42.0,62
43.0,62
44.0,62
45.0,62
46.0,62
50.0,13
59.0,18
66.0,17
73.0,18
82.0,13
83.0,13
84.0,13
88.0,62
89.0,62
90.0,62
91.0,62
92.0,62
96.0,64
99.0,6
100.0,6
101.0,6
102.0,6
104.0,50
108.0,52
112.0,50
116.0,52
121.0,29
126.0,0
129.0,40
130.0,40
134.0,43
