t,s
0.0,29
4.0,53
5.0,53
12.0,0
13.0,0
19.0,41
20.0,41
25.0,65
28.0,38
29.0,38
32.0,65
37.0,41
38.0,41
44.0,0
45.0,0
52.0,53
53.0,53
57.0,29
