t,s
0.0,65
3.0,8
4.0,8
8.0,49
9.0,49
13.0,29
14.0,29
15.0,29
20.0,52
24.0,50
28.0,52
32.0,50
33.0,50
35.0,6
36.0,6
37.0,6
38.0,6
41.0,64
42.0,64
46.0,62
47.0,62
50.0,63
51.0,63
58.0,66
59.0,66
60.0,66
61.0,66
62.0,66
63.0,66
66.0,12
67.0,12
68.0,12
77.0,24
78.0,24
