t,s
0.0,29
1.0,29
5.0,49
9.0,8
10.0,8
13.0,30
16.0,8
19.0,30
20.0,30
21.0,7
22.0,7
25.0,1
26.0,1
27.0,1
28.0,1
33.0,39
34.0,39
35.0,39
36.0,39
37.0,39
38.0,39
39.0,39
43.0,38
44.0,38
49.0,41
54.0,65
55.0,65
56.0,65
57.0,65
62.0,41
63.0,41
64.0,41
69.0,40
70.0,40
71.0,40
72.0,40
75.0,0
76.0,0
79.0,40
82.0,0
89.0,53
90.0,53
91.0,53
92.0,53
93.0,53
94.0,53
95.0,53
99.0,29
100.0,29
