t,s
0.0,38
3.0,30
4.0,7
7.0,1
12.0,39
13.0,39
14.0,39
15.0,39
16.0,39
17.0,39
21.0,38
24.0,30
27.0,8
31.0,49
35.0,29
36.0,29
37.0,29
38.0,29
39.0,29
43.0,8
44.0,8
47.0,30
