t1,t2,s1,s2,n1,n2
0,4.0,6,20.0,6,176.0
4,9.0,20,30.0,176,381.0
9,16.0,30,5.0,381,629.0
16,23.0,5,35.0,629,932.0
23,27.0,35,10.0,932,1063.0
27,32.0,10,2.0,1063,1250.0
32,37.0,2,10.0,1250,1453.0
37,40.0,10,36.0,1453,1596.0
40,45.0,36,1.0,1596,1756.0
45,49.0,1,4.0,1756,1915.0
49,54.0,4,6.0,1915,2112.0
54,58.0,6,20.0,2112,2282.0
58,63.0,20,30.0,2282,2487.0
63,70.0,30,5.0,2487,2735.0
70,77.0,5,35.0,2735,3038.0
77,81.0,35,10.0,3038,3169.0
81,86.0,10,2.0,3169,3356.0
86,91.0,2,10.0,3356,3559.0
91,94.0,10,36.0,3559,3702.0
94,99.0,36,1.0,3702,3862.0
99,103.0,1,4.0,3862,4021.0
103,108.0,4,6.0,4021,4218.0
108,112.0,6,20.0,4218,4388.0
112,117.0,20,30.0,4388,4593.0
117,124.0,30,5.0,4593,4841.0
124,131.0,5,35.0,4841,5144.0
131,135.0,35,10.0,5144,5275.0
135,140.0,10,2.0,5275,5462.0
140,145.0,2,10.0,5462,5665.0
145,148.0,10,36.0,5665,5808.0
148,153.0,36,1.0,5808,5968.0
153,157.0,1,4.0,5968,6127.0
157,162.0,4,6.0,6127,6324.0
