zone_id,lon,lat,GEOID
0,-86.43411816317575,42.12651863588999,260210003002
1,-86.44609798514101,42.07618329605534,260210020003
2,-86.4753321261387,42.039882660312486,260210017001
3,-86.40755794486125,42.109287905235526,260210022003
4,-86.4511973894656,42.090725641228275,260210020002
5,-86.39440899306732,42.14594476880551,260210025001
6,-86.47693455945301,42.095813709387215,260210010001
7,-86.44138325726405,42.090518815440824,260210020001
8,-86.44878843850252,42.105068294983425,260210005001
9,-86.48480536761039,41.92108714582655,260210110003
10,-86.41147442905968,42.09658505575124,260210021002
11,-86.36317193598701,42.23192119183165,260210101002
12,-86.47930631742096,42.056656595323936,260210011002
13,-86.51168340188983,42.06140348934564,260210013001
14,-86.49957283241584,42.0560715603927,260210013002
15,-86.48975117216908,42.03923220536838,260210014001
16,-86.50577828777566,42.04374334451242,260210014002
17,-86.50668450295144,42.02953551981091,260210014003
18,-86.54100091543988,42.015966699092154,260210015001
19,-86.52749781420967,42.00321672080737,260210015002
20,-86.49648032809701,42.02089707110929,260210016001
21,-86.47901230556457,42.00546769816812,260210017002
22,-86.50851259509811,41.998959913355485,260210017003
23,-86.42592534311477,42.0390257051297,260210018001
24,-86.45101090552129,42.03286792028904,260210018002
25,-86.41896628197122,42.00741845692386,260210018003
26,-86.3813298900654,42.059397790103496,260210019001
27,-86.57775445568424,41.94418450606651,260210111001
28,-86.50183178072889,41.96218029005363,260210110001
29,-86.4600949881749,42.11444356241654,260210004002
30,-86.44166304274427,42.09770390383333,260210006001
31,-86.4512341380765,42.09801143916592,260210006002
32,-86.45840117334562,42.098868731033804,260210006003
33,-86.4656599819919,42.09493070162456,260210007001
34,-86.4625095737922,42.089392933094985,260210007002
35,-86.46552030712516,42.079394539622946,260210007003
36,-86.48744528941367,42.09540727619437,260210008003
37,-86.3656789838145,42.01404041178531,260210019002
38,-86.42476005092475,42.100729496031164,260210021001
39,-86.42710725220421,42.08451054222774,260210021003
40,-86.42812809972843,42.12126152433082,260210022001
41,-86.42766702602108,42.11242857893141,260210022002
42,-86.40934296541921,42.135875883645745,260210023001
43,-86.40144675688933,42.12409892232535,260210023002
44,-86.36092826865038,42.12410200278519,260210024001
45,-86.37520400323544,42.08936141045224,260210024002
46,-86.47348024197369,41.96557097621754,260210110002
47,-86.53265615606621,41.961952182135356,260210111002
48,-86.54670483776279,41.91933827374541,260210111003
49,-86.4501422426716,42.111908715355064,260210004001
50,-86.47590823841739,42.105073204351264,260210008001
51,-86.38871929048776,42.20089559710128,260210101003
52,-86.48774482901403,42.1092135955385,260210008002
53,-86.45555302775404,42.13824683302789,260210025002
54,-86.35089144767487,41.96717843533577,260210213001
55,-86.34873366712924,41.96093071572267,260210213002
56,-86.33411180104527,41.96042356410494,260210213003
57,-86.4124830795455,41.96532970807407,260210214001
58,-86.36353969690016,41.95104119943638,260210214002
59,-86.35882504598317,41.933434055763776,260210214004
60,-86.41445197998915,41.92058689166378,260210214005
61,-86.34214022124924,41.95221737488042,260210213004
62,-86.49830719851154,42.08070328447641,260210009001
63,-86.49059878951579,42.07268533219162,260210009002
64,-86.48083415027868,42.08443033531176,260210010002
65,-86.44102939532857,42.11145614898031,260210003001
66,-86.46896145296067,42.06576230845876,260210011001
67,-86.40572664172457,42.17034536396588,260210101001
68,-86.35630275067362,42.191359872747725,260210101004
