zone_id,centroid,geometry,on_count,off_count
10,"(-86.34909690645553, 42.07589673446347)","POLYGON ((-86.358813 42.078077, -86.358818 42.079551, -86.355384 42.079536, -86.349042 42.079496, -86.34428200000001 42.07947, -86.34349400000001 42.079466, -86.339764 42.079466, -86.339431 42.079467, -86.339342 42.072238, -86.34913299999999 42.072306, -86.358791 42.072339, -86.358814 42.076005, -86.358813 42.078077))",0.0,0.0
11,"(-86.45367530238144, 42.1111173236876)","POLYGON ((-86.455404 42.108956, -86.45615599999999 42.108952, -86.456119 42.110246, -86.456118 42.111234, -86.456124 42.112018, -86.45568900000001 42.112247, -86.455499 42.11235, -86.45530100000001 42.112468, -86.45509800000001 42.112602, -86.45478900000001 42.112837, -86.454553 42.113074, -86.454409 42.11322, -86.454115 42.113484, -86.45380900000001 42.113727, -86.45368499999999 42.113821, -86.45355000000001 42.11393, -86.45339300000001 42.114053, -86.45330300000001 42.114149, -86.453091 42.114004, -86.452477 42.113579, -86.45214300000001 42.113386, -86.451634 42.11305, -86.45153999999999 42.112983, -86.45148500000001 42.112924, -86.45135399999999 42.112783, -86.4515 42.112691, -86.45149499999999 42.112168, -86.45149499999999 42.111197, -86.45148500000001 42.110077, -86.451494 42.109814, -86.451487 42.10894, -86.45260500000001 42.108937, -86.45375199999999 42.108943, -86.454267 42.108945, -86.45483299999999 42.108952, -86.455404 42.108956))",59.0,41.0
12,"(-86.45375676325837, 42.10529916834507)","POLYGON ((-86.45615599999999 42.108952, -86.455404 42.108956, -86.45483299999999 42.108952, -86.454267 42.108945, -86.45375199999999 42.108943, -86.45260500000001 42.108937, -86.451487 42.10894, -86.45144500000001 42.106684, -86.451431 42.1053, -86.451407 42.103817, -86.451408 42.103536, -86.451376 42.101636, -86.452496 42.101648, -86.453666 42.101648, -86.45486 42.101659, -86.456048 42.101659, -86.45605500000001 42.103559, -86.45607800000001 42.105291, -86.456068 42.105896, -86.456067 42.106738, -86.456148 42.107722, -86.45616 42.108335, -86.45615599999999 42.108952))",360.0,182.0
13,"(-86.44753784021363, 42.104713895539504)","POLYGON ((-86.45144500000001 42.106684, -86.451487 42.10894, -86.450267 42.108924, -86.449028 42.108918, -86.44760599999999 42.10892, -86.446439 42.10765, -86.446045 42.10724, -86.445413 42.106577, -86.444115 42.105265, -86.443259 42.104366, -86.442801 42.103893, -86.44235500000001 42.103427, -86.441489 42.102526, -86.4413 42.102328, -86.441608 42.10175, -86.44162900000001 42.101601, -86.442842 42.101605, -86.44407200000001 42.101612, -86.445285 42.101609, -86.44649 42.101622, -86.447709 42.101624, -86.448922 42.101634, -86.45014999999999 42.101636, -86.451376 42.101636, -86.451408 42.103536, -86.451407 42.103817, -86.451431 42.1053, -86.45144500000001 42.106684))",258.0,201.0
14,"(-86.45367307656689, 42.09803205598968)","POLYGON ((-86.456048 42.101659, -86.45486 42.101659, -86.453666 42.101648, -86.452496 42.101648, -86.451376 42.101636, -86.451357 42.099802, -86.451342 42.098013, -86.451323 42.096186, -86.451308 42.094343, -86.452718 42.094422, -86.453472 42.094433, -86.45424 42.094422, -86.45597100000001 42.094408, -86.455962 42.095186, -86.455984 42.095932, -86.455986 42.09618, -86.45598699999999 42.096488, -86.45598699999999 42.096761, -86.456008 42.098016, -86.456045 42.098917, -86.45603300000001 42.099837, -86.456018 42.100752, -86.456048 42.101659))",183.0,75.0
15,"(-86.44625081374129, 42.097721203936715)","POLYGON ((-86.451357 42.099802, -86.451376 42.101636, -86.45014999999999 42.101636, -86.448922 42.101634, -86.447709 42.101624, -86.44649 42.101622, -86.445285 42.101609, -86.44407200000001 42.101612, -86.442842 42.101605, -86.44162900000001 42.101601, -86.441608 42.101479, -86.441586 42.099725, -86.44157800000001 42.097975, -86.441582 42.096163, -86.44156 42.094357, -86.441546 42.092536, -86.44278 42.09254, -86.443994 42.092529, -86.443972 42.092638, -86.443995 42.094352, -86.445224 42.094357, -86.446443 42.094353, -86.44766799999999 42.094344, -86.448882 42.094347, -86.450079 42.094351, -86.451308 42.094343, -86.451323 42.096186, -86.451342 42.098013, -86.451357 42.099802))",537.0,353.0
16,"(-86.43916891593064, 42.0969849866533)","POLYGON ((-86.44157800000001 42.097975, -86.441586 42.099725, -86.440382 42.099711, -86.439176 42.099713, -86.438237 42.099717, -86.438125 42.099727, -86.438042 42.099754, -86.43791 42.099794, -86.436707 42.09891, -86.43668599999999 42.094303, -86.437943 42.094328, -86.44156 42.094357, -86.441582 42.096163, -86.44157800000001 42.097975))",66.0,77.0
17,"(-86.43838312718682, 42.09163948076809)","POLYGON ((-86.441546 42.092536, -86.44156 42.094357, -86.437943 42.094328, -86.43668599999999 42.094303, -86.436707 42.09891, -86.435394 42.097965, -86.43493100000001 42.097629, -86.43471099999999 42.09747, -86.43494200000001 42.096319, -86.434974 42.096164, -86.43500400000001 42.096008, -86.435052 42.095728, -86.43527 42.094764, -86.435557 42.093494, -86.436018 42.091422, -86.436029 42.091369, -86.43603899999999 42.091324, -86.436049 42.09128, -86.436059 42.091235, -86.43606800000001 42.091191, -86.43607799999999 42.091147, -86.436088 42.091102, -86.436097 42.091058, -86.43610700000001 42.091013, -86.436117 42.090969, -86.436126 42.090924, -86.436136 42.09088, -86.43614599999999 42.090835, -86.436155 42.090791, -86.436165 42.090747, -86.43617399999999 42.090702, -86.436184 42.090658, -86.436193 42.090613, -86.43620300000001 42.090569, -86.436212 42.090524, -86.436222 42.09048, -86.43623100000001 42.090435, -86.43624 42.090391, -86.436249 42.090346, -86.436258 42.090302, -86.436266 42.090257, -86.43627499999999 42.090213, -86.436283 42.090168, -86.436291 42.090123, -86.4363 42.090079, -86.436308 42.090034, -86.43631499999999 42.089989, -86.436322 42.089945, -86.436329 42.0899, -86.436335 42.089855, -86.43634 42.08981, -86.436345 42.089766, -86.43634900000001 42.089721, -86.43635399999999 42.089676, -86.436358 42.089631, -86.436362 42.089586, -86.43636600000001 42.089541, -86.43637 42.089496, -86.436373 42.089451, -86.43637699999999 42.089406, -86.43638 42.089361, -86.436384 42.089316, -86.436387 42.089271, -86.436391 42.089226, -86.43639400000001 42.089181, -86.436398 42.089137, -86.436402 42.089092, -86.43640499999999 42.089047, -86.436401 42.08789, -86.436424 42.087508, -86.436454 42.087076, -86.437888 42.087089, -86.43917399999999 42.087082, -86.441456 42.087072, -86.44152 42.087074, -86.441526 42.087923, -86.44156099999999 42.090714, -86.441546 42.092536))",401.0,266.0
18,"(-86.4465938524425, 42.09050119354994)","POLYGON ((-86.44278 42.09254, -86.441546 42.092536, -86.44156099999999 42.090714, -86.441526 42.087923, -86.44152 42.087074, -86.44560799999999 42.087087, -86.44642 42.087068, -86.44882800000001 42.087078, -86.449456 42.087074, -86.451247 42.08707, -86.451246 42.088022, -86.451256 42.088619, -86.451263 42.089357, -86.45128 42.090368, -86.45128099999999 42.090716, -86.45128 42.091451, -86.451275 42.091671, -86.451267 42.091775, -86.451239 42.091902, -86.45115699999999 42.092082, -86.450976 42.092339, -86.450789 42.092542, -86.450675 42.09267, -86.450574 42.092797, -86.45052 42.092882, -86.450506 42.092976, -86.45051100000001 42.093046, -86.45053900000001 42.09316, -86.450568 42.093225, -86.45060700000001 42.093291, -86.450672 42.093359, -86.450732 42.09341, -86.450806 42.093467, -86.451013 42.093602, -86.451155 42.093727, -86.451224 42.093799, -86.451257 42.09387, -86.451285 42.093933, -86.45129900000001 42.093979, -86.451306 42.09405, -86.45130899999999 42.094134, -86.451312 42.094234, -86.451308 42.094343, -86.450079 42.094351, -86.448882 42.094347, -86.44766799999999 42.094344, -86.446443 42.094353, -86.445224 42.094357, -86.443995 42.094352, -86.443972 42.092638, -86.443994 42.092529, -86.44278 42.09254))",201.0,164.0
19,"(-86.45354830671462, 42.090794556861454)","POLYGON ((-86.455983 42.093616, -86.45597100000001 42.094408, -86.45424 42.094422, -86.453472 42.094433, -86.452718 42.094422, -86.451308 42.094343, -86.451312 42.094234, -86.45130899999999 42.094134, -86.451306 42.09405, -86.45129900000001 42.093979, -86.451285 42.093933, -86.451257 42.09387, -86.451224 42.093799, -86.451155 42.093727, -86.451013 42.093602, -86.450806 42.093467, -86.450732 42.09341, -86.450672 42.093359, -86.45060700000001 42.093291, -86.450568 42.093225, -86.45053900000001 42.09316, -86.45051100000001 42.093046, -86.450506 42.092976, -86.45052 42.092882, -86.450574 42.092797, -86.450675 42.09267, -86.450789 42.092542, -86.450976 42.092339, -86.45115699999999 42.092082, -86.451239 42.091902, -86.451267 42.091775, -86.451275 42.091671, -86.45128 42.091451, -86.45128099999999 42.090716, -86.45128 42.090368, -86.451263 42.089357, -86.451256 42.088619, -86.451246 42.088022, -86.451247 42.08707, -86.455927 42.08707, -86.45593599999999 42.087917, -86.455938 42.087999, -86.455928 42.089109, -86.455934 42.08935, -86.45593 42.090411, -86.45593 42.09048, -86.45596 42.091658, -86.455966 42.091815, -86.45596399999999 42.092987, -86.455983 42.093616))",83.0,91.0
