trip_id,on_id,off_id,od
6070,135,93,"(135, 93)"
6071,13,67,"(13, 67)"
6072,32,82,"(32, 82)"
6073,78,150,"(78, 150)"
6074,5,77,"(5, 77)"
6075,4,150,"(4, 150)"
6076,102,73,"(102, 73)"
6077,14,72,"(14, 72)"
6078,17,3,"(17, 3)"
6079,110,6,"(110, 6)"
6080,114,3,"(114, 3)"
6081,17,4,"(17, 4)"
6082,39,54,"(39, 54)"
6083,104,104,"(104, 104)"
6084,17,161,"(17, 161)"
6085,24,45,"(24, 45)"
6086,142,24,"(142, 24)"
6087,18,13,"(18, 13)"
6088,3,123,"(3, 123)"
6089,78,15,"(78, 15)"
6090,150,15,"(150, 15)"
6091,159,23,"(159, 23)"
6092,161,140,"(161, 140)"
6093,82,78,"(82, 78)"
6094,96,83,"(96, 83)"
6095,100,15,"(100, 15)"
6096,3,82,"(3, 82)"
6097,161,15,"(161, 15)"
6098,161,16,"(161, 16)"
6099,78,102,"(78, 102)"
6100,15,3,"(15, 3)"
6101,42,27,"(42, 27)"
6102,4,27,"(4, 27)"
6103,150,3,"(150, 3)"
6105,4,15,"(4, 15)"
6106,45,18,"(45, 18)"
6107,82,14,"(82, 14)"
6108,150,91,"(150, 91)"
6109,73,99,"(73, 99)"
6110,124,102,"(124, 102)"
6111,135,45,"(135, 45)"
6112,73,3,"(73, 3)"
6113,150,79,"(150, 79)"
6114,150,12,"(150, 12)"
6115,14,150,"(14, 150)"
6116,39,102,"(39, 102)"
6117,150,21,"(150, 21)"
6118,150,17,"(150, 17)"
6119,150,15,"(150, 15)"
6120,150,73,"(150, 73)"
6121,150,19,"(150, 19)"
6122,15,13,"(15, 13)"
6123,67,104,"(67, 104)"
6124,6,15,"(6, 15)"
6126,150,24,"(150, 24)"
6127,12,3,"(12, 3)"
6128,104,104,"(104, 104)"
6129,82,159,"(82, 159)"
6130,73,3,"(73, 3)"
6131,3,12,"(3, 12)"
6132,102,24,"(102, 24)"
6133,73,72,"(73, 72)"
6134,33,84,"(33, 84)"
6135,135,45,"(135, 45)"
6136,105,15,"(105, 15)"
6137,73,123,"(73, 123)"
6138,67,73,"(67, 73)"
6139,67,73,"(67, 73)"
6140,67,73,"(67, 73)"
6141,150,15,"(150, 15)"
6142,135,4,"(135, 4)"
6143,83,17,"(83, 17)"
6144,78,104,"(78, 104)"
6145,104,104,"(104, 104)"
6146,80,24,"(80, 24)"
6147,80,148,"(80, 148)"
6148,105,93,"(105, 93)"
6151,80,83,"(80, 83)"
6152,78,82,"(78, 82)"
6153,78,27,"(78, 27)"
6154,5,15,"(5, 15)"
6155,16,54,"(16, 54)"
6156,17,3,"(17, 3)"
6157,141,73,"(141, 73)"
6158,82,15,"(82, 15)"
6159,13,24,"(13, 24)"
6160,78,82,"(78, 82)"
6161,159,54,"(159, 54)"
6162,3,102,"(3, 102)"
6163,101,159,"(101, 159)"
6164,14,82,"(14, 82)"
6165,142,35,"(142, 35)"
6166,77,15,"(77, 15)"
6167,23,83,"(23, 83)"
6168,17,142,"(17, 142)"
6169,24,150,"(24, 150)"
6170,24,15,"(24, 15)"
6171,77,6,"(77, 6)"
6172,3,12,"(3, 12)"
6173,67,104,"(67, 104)"
6174,159,82,"(159, 82)"
6175,105,80,"(105, 80)"
6176,17,150,"(17, 150)"
6177,150,41,"(150, 41)"
6178,148,80,"(148, 80)"
6179,3,19,"(3, 19)"
6180,150,4,"(150, 4)"
6181,135,90,"(135, 90)"
6182,4,115,"(4, 115)"
6183,97,21,"(97, 21)"
6184,17,83,"(17, 83)"
6185,39,102,"(39, 102)"
6186,104,104,"(104, 104)"
6187,13,15,"(13, 15)"
6188,15,105,"(15, 105)"
6189,13,102,"(13, 102)"
6190,159,18,"(159, 18)"
6191,102,73,"(102, 73)"
6192,41,73,"(41, 73)"
6193,4,111,"(4, 111)"
6194,3,150,"(3, 150)"
6195,13,18,"(13, 18)"
6196,6,13,"(6, 13)"
6197,3,22,"(3, 22)"
6198,24,14,"(24, 14)"
6199,73,71,"(73, 71)"
6200,104,104,"(104, 104)"
6201,67,104,"(67, 104)"
6202,67,16,"(67, 16)"
6203,67,45,"(67, 45)"
6204,104,104,"(104, 104)"
6205,104,104,"(104, 104)"
6206,104,104,"(104, 104)"
6207,67,18,"(67, 18)"
6208,67,74,"(67, 74)"
6209,105,83,"(105, 83)"
6210,20,120,"(20, 120)"
6211,140,161,"(140, 161)"
6212,120,150,"(120, 150)"
6213,45,135,"(45, 135)"
6214,161,17,"(161, 17)"
6215,17,3,"(17, 3)"
6216,15,7,"(15, 7)"
6217,102,124,"(102, 124)"
6218,90,35,"(90, 35)"
6219,90,135,"(90, 135)"
6220,15,24,"(15, 24)"
6221,15,3,"(15, 3)"
6222,104,104,"(104, 104)"
6223,21,161,"(21, 161)"
6224,91,32,"(91, 32)"
6225,82,73,"(82, 73)"
6226,82,73,"(82, 73)"
6227,54,159,"(54, 159)"
6228,114,3,"(114, 3)"
6229,4,45,"(4, 45)"
6230,161,15,"(161, 15)"
6231,82,90,"(82, 90)"
6232,33,78,"(33, 78)"
6233,17,120,"(17, 120)"
6234,45,91,"(45, 91)"
6235,102,124,"(102, 124)"
6236,20,75,"(20, 75)"
6237,35,142,"(35, 142)"
6238,35,142,"(35, 142)"
6239,35,142,"(35, 142)"
6240,21,161,"(21, 161)"
6241,74,22,"(74, 22)"
6242,6,22,"(6, 22)"
6243,42,135,"(42, 135)"
6244,105,159,"(105, 159)"
6245,4,91,"(4, 91)"
6246,87,96,"(87, 96)"
6247,3,17,"(3, 17)"
6248,17,78,"(17, 78)"
6249,120,150,"(120, 150)"
6250,77,150,"(77, 150)"
6251,99,135,"(99, 135)"
6252,87,96,"(87, 96)"
6253,42,67,"(42, 67)"
6254,16,67,"(16, 67)"
6255,12,67,"(12, 67)"
6256,143,3,"(143, 3)"
6257,77,17,"(77, 17)"
6258,4,40,"(4, 40)"
6259,15,120,"(15, 120)"
6260,21,118,"(21, 118)"
6261,82,67,"(82, 67)"
6262,21,135,"(21, 135)"
6263,45,135,"(45, 135)"
6264,42,4,"(42, 4)"
6265,14,3,"(14, 3)"
6266,15,3,"(15, 3)"
6267,27,90,"(27, 90)"
6268,82,78,"(82, 78)"
6269,82,78,"(82, 78)"
6270,82,78,"(82, 78)"
6271,82,78,"(82, 78)"
6272,104,104,"(104, 104)"
6273,15,67,"(15, 67)"
6274,15,67,"(15, 67)"
6275,105,84,"(105, 84)"
6276,15,161,"(15, 161)"
6277,21,12,"(21, 12)"
6278,13,35,"(13, 35)"
6279,73,67,"(73, 67)"
6280,16,161,"(16, 161)"
6281,161,118,"(161, 118)"
6282,79,150,"(79, 150)"
6283,17,150,"(17, 150)"
6284,15,150,"(15, 150)"
6285,15,150,"(15, 150)"
6286,73,150,"(73, 150)"
6287,19,150,"(19, 150)"
6288,12,150,"(12, 150)"
6289,21,150,"(21, 150)"
6290,104,104,"(104, 104)"
6291,17,45,"(17, 45)"
6292,17,45,"(17, 45)"
6293,150,24,"(150, 24)"
6294,4,111,"(4, 111)"
6295,74,159,"(74, 159)"
6296,17,32,"(17, 32)"
6297,42,135,"(42, 135)"
6298,14,86,"(14, 86)"
6299,21,120,"(21, 120)"
6300,102,148,"(102, 148)"
6301,18,111,"(18, 111)"
6302,142,73,"(142, 73)"
6303,142,73,"(142, 73)"
6304,4,111,"(4, 111)"
6305,83,96,"(83, 96)"
6306,4,102,"(4, 102)"
6307,111,73,"(111, 73)"
6308,21,73,"(21, 73)"
6309,73,42,"(73, 42)"
6310,15,32,"(15, 32)"
6311,74,4,"(74, 4)"
6312,17,108,"(17, 108)"
6313,104,104,"(104, 104)"
6314,99,35,"(99, 35)"
6315,45,102,"(45, 102)"
6316,82,159,"(82, 159)"
6317,13,22,"(13, 22)"
6318,13,148,"(13, 148)"
6320,54,148,"(54, 148)"
6321,118,18,"(118, 18)"
6322,90,13,"(90, 13)"
6323,15,73,"(15, 73)"
6324,82,159,"(82, 159)"
6325,105,84,"(105, 84)"
6326,135,99,"(135, 99)"
6327,12,137,"(12, 137)"
6328,17,77,"(17, 77)"
6329,13,159,"(13, 159)"
6330,159,73,"(159, 73)"
6331,74,71,"(74, 71)"
6332,74,159,"(74, 159)"
6333,41,159,"(41, 159)"
6334,71,84,"(71, 84)"
6335,99,3,"(99, 3)"
6336,12,4,"(12, 4)"
6337,12,4,"(12, 4)"
6338,159,38,"(159, 38)"
6339,12,150,"(12, 150)"
6340,101,73,"(101, 73)"
6341,82,3,"(82, 3)"
6342,15,73,"(15, 73)"
6343,4,106,"(4, 106)"
6344,23,45,"(23, 45)"
6345,18,3,"(18, 3)"
6346,45,17,"(45, 17)"
6347,150,135,"(150, 135)"
6348,83,23,"(83, 23)"
6349,18,3,"(18, 3)"
6350,161,17,"(161, 17)"
6351,17,67,"(17, 67)"
6352,4,160,"(4, 160)"
6353,4,160,"(4, 160)"
6354,111,160,"(111, 160)"
6355,105,160,"(105, 160)"
6356,99,159,"(99, 159)"
6357,101,78,"(101, 78)"
6358,101,78,"(101, 78)"
6359,15,67,"(15, 67)"
6360,12,67,"(12, 67)"
6361,42,67,"(42, 67)"
6362,99,67,"(99, 67)"
6364,159,160,"(159, 160)"
6365,150,160,"(150, 160)"
6366,74,18,"(74, 18)"
6367,41,162,"(41, 162)"
6368,77,3,"(77, 3)"
6369,45,35,"(45, 35)"
6370,74,78,"(74, 78)"
6371,102,74,"(102, 74)"
6372,18,33,"(18, 33)"
6373,148,15,"(148, 15)"
6374,45,104,"(45, 104)"
6375,45,104,"(45, 104)"
6376,140,73,"(140, 73)"
6377,96,83,"(96, 83)"
6378,6,102,"(6, 102)"
6379,6,102,"(6, 102)"
6380,73,150,"(73, 150)"
6381,12,150,"(12, 150)"
6382,21,161,"(21, 161)"
6383,108,17,"(108, 17)"
6384,17,3,"(17, 3)"
6385,143,159,"(143, 159)"
6386,12,150,"(12, 150)"
6387,73,42,"(73, 42)"
6388,115,13,"(115, 13)"
6389,115,13,"(115, 13)"
6390,115,13,"(115, 13)"
6391,150,3,"(150, 3)"
6392,150,3,"(150, 3)"
6393,150,3,"(150, 3)"
6394,135,45,"(135, 45)"
6395,104,104,"(104, 104)"
6396,15,33,"(15, 33)"
6397,4,118,"(4, 118)"
6398,90,4,"(90, 4)"
6399,159,5,"(159, 5)"
6400,84,71,"(84, 71)"
6401,150,161,"(150, 161)"
6402,124,160,"(124, 160)"
6403,77,160,"(77, 160)"
6404,104,13,"(104, 13)"
6405,75,3,"(75, 3)"
6406,91,148,"(91, 148)"
6407,150,73,"(150, 73)"
6408,15,100,"(15, 100)"
6409,4,3,"(4, 3)"
6410,3,77,"(3, 77)"
6411,13,6,"(13, 6)"
6412,148,13,"(148, 13)"
6413,14,45,"(14, 45)"
6414,15,3,"(15, 3)"
6415,135,17,"(135, 17)"
6416,142,5,"(142, 5)"
6417,104,104,"(104, 104)"
6418,45,73,"(45, 73)"
6419,41,24,"(41, 24)"
6420,73,82,"(73, 82)"
6421,11,4,"(11, 4)"
6422,21,150,"(21, 150)"
6423,102,6,"(102, 6)"
6424,102,6,"(102, 6)"
6425,84,104,"(84, 104)"
6426,78,101,"(78, 101)"
6427,4,148,"(4, 148)"
6428,13,159,"(13, 159)"
6429,13,45,"(13, 45)"
6430,18,107,"(18, 107)"
6431,74,24,"(74, 24)"
6432,15,161,"(15, 161)"
6433,12,159,"(12, 159)"
6434,20,29,"(20, 29)"
