t1,t2,s1,s2,n1,n2
0,4,23,18,23,170
4,7,18,24,170,290
7,10,24,26,290,406
10,13,26,24,406,518
13,14,24,17,518,549
14,17,17,14,549,660
17,22,14,27,660,863
22,26,27,26,863,1014
26,29,26,24,1014,1126
29,32,24,18,1126,1234
32,36,18,29,1234,1397
36,40,29,23,1397,1543
40,44,23,18,1543,1690
44,47,18,24,1690,1810
47,50,24,26,1810,1926
50,53,26,24,1926,2038
53,54,24,17,2038,2069
54,57,17,14,2069,2180
57,62,14,27,2180,2383
62,66,27,26,2383,2534
66,69,26,24,2534,2646
69,72,24,18,2646,2754
72,76,18,29,2754,2917
76,80,29,23,2917,3063
80,84,23,18,3063,3210
84,87,18,24,3210,3330
87,90,24,26,3330,3446
90,93,26,24,3446,3558
93,94,24,17,3558,3589
94,97,17,14,3589,3700
97,102,14,27,3700,3903
102,106,27,26,3903,4054
106,109,26,24,4054,4166
109,112,24,18,4166,4274
112,116,18,29,4274,4437
116,120,29,23,4437,4583
120,124,23,18,4583,4730
124,127,18,24,4730,4850
127,130,24,26,4850,4966
130,133,26,24,4966,5078
133,134,24,17,5078,5109
134,137,17,14,5109,5220
137,142,14,27,5220,5423
142,146,27,26,5423,5574
146,149,26,24,5574,5686
149,152,24,18,5686,5794
152,156,18,29,5794,5957
156,160,29,23,5957,6103
