t1,t2,s1,s2,n1,n2
0,4,18,23,18,175
4,9,23,31,175,373
9,13,31,30,373,524
13,15,30,16,524,586
15,18,16,35,586,719
18,22,35,33,719,869
22,25,33,34,869,984
25,30,34,20,984,1160
30,34,20,21,1160,1313
34,38,21,22,1313,1466
38,42,22,21,1466,1617
42,47,21,19,1617,1805
47,50,19,37,1805,1937
50,55,37,14,1937,2104
55,58,14,15,2104,2219
58,60,15,25,2219,2305
60,62,25,18,2305,2374
62,66,18,23,2374,2531
66,71,23,31,2531,2729
71,75,31,30,2729,2880
75,77,30,16,2880,2942
77,80,16,35,2942,3075
80,84,35,33,3075,3225
84,87,33,34,3225,3340
87,92,34,20,3340,3516
92,96,20,21,3516,3669
96,100,21,22,3669,3822
100,104,22,21,3822,3973
104,109,21,19,3973,4161
109,112,19,37,4161,4293
112,117,37,14,4293,4460
117,120,14,15,4460,4575
120,122,15,25,4575,4661
122,124,25,18,4661,4730
