t1,t2,s1,s2,n1,n2
0,4,23,32,23,184
4,11,32,13,184,431
11,17,13,28,431,674
17,22,28,36,674,872
22,25,36,26,872,976
25,28,26,36,976,1100
28,33,36,28,1100,1282
33,39,28,13,1282,1495
39,46,13,32,1495,1780
46,50,32,23,1780,1923
50,54,23,32,1923,2084
54,61,32,13,2084,2331
61,67,13,28,2331,2574
67,72,28,36,2574,2772
72,75,36,26,2772,2876
75,78,26,36,2876,3000
78,83,36,28,3000,3182
83,89,28,13,3182,3395
89,96,13,32,3395,3680
96,100,32,23,3680,3823
100,104,23,32,3823,3984
104,111,32,13,3984,4231
111,117,13,28,4231,4474
117,122,28,36,4474,4672
122,125,36,26,4672,4776
125,128,26,36,4776,4900
128,133,36,28,4900,5082
133,139,28,13,5082,5295
139,146,13,32,5295,5580
146,150,32,23,5580,5723
