ID,NAN,ED,LA,O,D,Duration
0,,0,34,20,20,34
1,,0,34,20,20,34
2,,0,54,6,6,54
3,,0,68,20,20,68
4,,0,40,20,20,40
5,,0,40,20,20,40
6,,0,40,20,20,40
