t,s
0,49
4,8
6,31
8,4
9,4
10,4
12,7
16,39
20,38
23,10
30,45
31,45
32,45
33,45
34,45
41,10
48,45
49,45
50,45
51,45
52,45
59,10
60,10
63,38
67,39
71,7
73,4
74,4
75,4
77,31
79,8
83,49
