t1,t2,s1,s2,n1,n2
0,6.0,20,21.0,20,255.0
6,10.0,21,5.0,255,395.0
10,17.0,5,36.0,395,699.0
17,23.0,36,15.0,699,912.0
23,31.0,15,1.0,912,1210.0
31,34.0,1,21.0,1210,1347.0
34,40.0,21,20.0,1347,1580.0
40,46.0,20,21.0,1580,1815.0
46,50.0,21,5.0,1815,1955.0
50,57.0,5,36.0,1955,2259.0
57,63.0,36,15.0,2259,2472.0
63,71.0,15,1.0,2472,2770.0
71,74.0,1,21.0,2770,2907.0
74,80.0,21,20.0,2907,3140.0
80,86.0,20,21.0,3140,3375.0
86,90.0,21,5.0,3375,3515.0
90,97.0,5,36.0,3515,3819.0
97,103.0,36,15.0,3819,4032.0
103,111.0,15,1.0,4032,4330.0
111,114.0,1,21.0,4330,4467.0
114,120.0,21,20.0,4467,4700.0
120,126.0,20,21.0,4700,4935.0
126,130.0,21,5.0,4935,5075.0
130,137.0,5,36.0,5075,5379.0
137,143.0,36,15.0,5379,5592.0
143,151.0,15,1.0,5592,5890.0
151,154.0,1,21.0,5890,6027.0
154,160.0,21,20.0,6027,6260.0
