t1,t2,s1,s2,n1,n2
0.0,3.0,62,63,62.0,270.0
3.0,10.0,63,66,270.0,756.0
10.0,15.0,66,64,756.0,1099.0
15.0,18.0,64,6,1099.0,1248.0
18.0,20.0,6,50,1248.0,1430.0
20.0,23.0,50,29,1430.0,1616.0
23.0,27.0,29,53,1616.0,1916.0
27.0,34.0,53,52,1916.0,2398.0
34.0,40.0,52,62,2398.0,2822.0
40.0,43.0,62,63,2822.0,3030.0
43.0,50.0,63,66,3030.0,3516.0
50.0,55.0,66,64,3516.0,3859.0
55.0,58.0,64,6,3859.0,4008.0
58.0,60.0,6,50,4008.0,4190.0
60.0,63.0,50,29,4190.0,4376.0
63.0,67.0,29,53,4376.0,4676.0
67.0,74.0,53,52,4676.0,5158.0
74.0,80.0,52,62,5158.0,5582.0
80.0,83.0,62,63,5582.0,5790.0
83.0,90.0,63,66,5790.0,6276.0
90.0,95.0,66,64,6276.0,6619.0
95.0,98.0,64,6,6619.0,6768.0
98.0,100.0,6,50,6768.0,6950.0
100.0,103.0,50,29,6950.0,7136.0
103.0,107.0,29,53,7136.0,7436.0
107.0,114.0,53,52,7436.0,7918.0
114.0,120.0,52,62,7918.0,8342.0
120.0,123.0,62,63,8342.0,8550.0
123.0,130.0,63,66,8550.0,9036.0
130.0,135.0,66,64,9036.0,9379.0
135.0,138.0,64,6,9379.0,9528.0
138.0,140.0,6,50,9528.0,9710.0
140.0,143.0,50,29,9710.0,9896.0
143.0,147.0,29,53,9896.0,10196.0
147.0,154.0,53,52,10196.0,10678.0
154.0,160.0,52,62,10678.0,11102.0
