t1,t2,s1,s2
0.0,3.0,3,38
3.0,6.0,38,65
6.0,9.0,65,49
9.0,13.0,49,29
13.0,17.0,29,8
17.0,19.0,8,31
19.0,21.0,31,32
21.0,23.0,32,33
23.0,26.0,33,35
26.0,28.0,35,34
28.0,30.0,34,4
30.0,33.0,4,30
33.0,34.0,30,7
34.0,38.0,7,39
38.0,44.0,39,45
44.0,49.0,45,3
