t,s
0.0,3
3.0,38
6.0,65
9.0,49
13.0,29
17.0,8
19.0,31
21.0,32
23.0,33
26.0,35
28.0,34
30.0,4
33.0,30
34.0,7
38.0,39
44.0,45
49.0,3
