zone_id,indegree,outdegree
0,16.0508411491042,13.526367114744678
1,80.23707200335087,16.95374623749313
2,15.989001360305117,26.12882982227693
3,8.598354481764872,3.089886437118097
4,0.0,12.791289491466799
5,37.69605081858876,14.161776553149402
6,0.0,20.71382030653973
7,2.385435537901222,16.566262508730222
8,10.140495849312009,22.59427105121269
9,0.0,35.05516243968321
10,0.0,12.724692165586465
11,0.0,0.0
12,13.20307547465594,0.6996314838399172
13,24.784616620272757,31.194387620127213
14,0.0,0.0
15,0.0,41.928989717335824
16,14.74951947489673,32.81367980546706
17,34.6767858358094,6.231849241837039
18,66.2607800611084,42.847020423208505
19,37.29530928140138,87.66947511200429
20,33.767069722861244,82.16516066646511
21,22.54851564362808,6.907999263816699
22,4.316512809323091,142.51554554751004
23,3.415640475605945,6.08798313126628
24,52.292745869115905,12.860277788483902
25,0.0,71.18090007584009
26,1.84604996426375,62.86249583155538
27,36.11462119173923,0.0
28,0.0,28.322134200204253
29,61.56484337712192,32.124147564556466
30,0.0,1.786249609636672
31,0.0,3.5439238104187027
32,0.9443549443898308,6.939768968331155
33,0.0,23.749334744540747
34,0.0,3.8616056858639283
35,0.0,4.001168643234991
36,20.986204409690686,2.1814357396115063
37,1.0513675464863363,4.574561125655331
38,24.44577889416744,0.0
39,63.688820602294776,7.548578193516297
40,10.780172816578933,12.40846820711343
41,7.702476056709328,21.44557238097297
42,0.0,7.011918009368989
43,29.08037850189933,12.503326322382808
44,6.662296390874057,14.170269954009235
45,142.5709198559596,0.0
46,0.0,47.903672653936944
47,15.716068741841914,0.0
48,39.234708730299175,4.2172270727004495
49,9.439499874283113,32.810764424538135
50,36.26665183373555,7.798811993907653
51,0.0,9.836406670182013
52,43.648885534059886,31.465552129623312
53,59.1446726595394,34.96634362380297
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,16.55286237137421,4.846477889056136
58,44.188734840171605,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,15.216368359100123,7.89487933977072
63,16.490997442208993,3.256882647243688
64,10.514433613503941,15.380960923646722
65,7.792957735766525,0.9443549443898308
66,48.59503852121371,35.60415884754474
67,17.133561026909174,8.675465133738339
68,0.0,11.73562701493063
