t,s
0,29
4,53
11,0
17,41
22,65
25,38
28,65
33,41
39,0
46,53
50,29
54,53
61,0
67,41
72,65
75,38
78,65
83,41
89,0
96,53
100,29
104,53
111,0
117,41
122,65
125,38
128,65
133,41
139,0
146,53
150,29
